iter	Passed	Remaining
0	6	6204
1	14	7298
2	22	7375
3	28	7019
4	34	6956
5	40	6654
6	44	6375
7	50	6282
8	55	6082
9	59	5898
10	64	5834
11	69	5716
12	74	5647
13	79	5599
14	84	5559
15	89	5493
16	93	5430
17	98	5398
18	103	5350
19	108	5307
20	113	5283
21	118	5249
22	122	5215
23	128	5216
24	133	5194
25	138	5177
26	143	5170
27	149	5186
28	154	5158
29	159	5142
30	164	5136
31	168	5109
32	173	5093
33	179	5111
34	184	5100
35	190	5089
36	195	5086
37	200	5070
38	205	5065
39	210	5062
40	215	5044
41	221	5048
42	227	5054
43	232	5060
44	237	5044
45	243	5055
46	255	5172
47	260	5173
48	265	5154
49	270	5148
50	276	5153
51	281	5138
52	287	5128
53	293	5141
54	298	5125
55	303	5113
56	309	5126
57	315	5117
58	319	5101
59	326	5107
60	331	5098
61	336	5094
62	342	5101
63	348	5092
64	353	5083
65	358	5079
66	364	5072
67	370	5071
68	375	5066
69	380	5053
70	387	5067
71	392	5057
72	397	5043
73	403	5043
74	408	5036
75	412	5017
76	418	5020
77	425	5027
78	430	5024
79	437	5027
80	445	5055
81	451	5051
82	457	5050
83	461	5031
84	467	5030
85	472	5019
86	477	5012
87	482	4996
88	487	4986
89	491	4967
90	495	4950
91	500	4938
92	504	4920
93	508	4903
94	513	4892
95	518	4879
96	522	4863
97	526	4847
98	531	4839
99	535	4822
100	540	4810
101	544	4796
102	549	4786
103	554	4774
104	558	4760
105	563	4749
106	567	4738
107	572	4726
108	576	4714
109	581	4702
110	585	4690
111	590	4683
112	596	4678
113	600	4669
114	606	4664
115	611	4661
116	616	4654
117	623	4658
118	629	4661
119	635	4658
120	640	4653
121	647	4658
122	652	4649
123	656	4638
124	661	4632
125	666	4624
126	671	4613
127	676	4609
128	681	4599
129	685	4589
130	691	4586
131	697	4585
132	703	4582
133	709	4583
134	714	4577
135	719	4573
136	725	4573
137	730	4565
138	737	4568
139	744	4573
140	750	4573
141	756	4570
142	762	4571
143	769	4574
144	776	4578
145	782	4575
146	790	4584
147	796	4582
148	800	4573
149	809	4586
150	814	4579
151	819	4573
152	825	4569
153	831	4565
154	836	4562
155	843	4561
156	848	4554
157	853	4546
158	857	4537
159	862	4529
160	868	4524
161	874	4521
162	878	4513
163	884	4510
164	891	4510
165	896	4506
166	903	4507
167	909	4503
168	916	4504
169	922	4503
170	928	4501
171	934	4498
172	941	4498
173	946	4493
174	952	4490
175	958	4485
176	964	4484
177	970	4479
178	975	4473
179	981	4471
180	987	4467
181	993	4466
182	1001	4470
183	1007	4468
184	1014	4471
185	1021	4470
186	1027	4468
187	1035	4471
188	1040	4466
189	1046	4460
190	1051	4455
191	1057	4451
192	1065	4453
193	1070	4448
194	1077	4446
195	1082	4439
196	1087	4432
197	1092	4425
198	1097	4418
199	1102	4410
200	1108	4407
201	1114	4400
202	1119	4394
203	1125	4391
204	1130	4385
205	1137	4384
206	1143	4382
207	1149	4377
208	1156	4376
209	1161	4370
210	1166	4363
211	1173	4360
212	1178	4353
213	1183	4345
214	1189	4341
215	1194	4335
216	1199	4329
217	1207	4330
218	1213	4328
219	1220	4325
220	1226	4324
221	1234	4325
222	1239	4320
223	1247	4322
224	1255	4323
225	1260	4317
226	1267	4315
227	1272	4309
228	1277	4300
229	1284	4298
230	1289	4293
231	1294	4286
232	1301	4284
233	1307	4278
234	1312	4272
235	1318	4269
236	1323	4261
237	1330	4259
238	1335	4252
239	1340	4246
240	1348	4245
241	1354	4243
242	1359	4236
243	1365	4231
244	1370	4223
245	1376	4219
246	1382	4213
247	1403	4254
248	1409	4251
249	1415	4247
250	1420	4240
251	1426	4234
252	1432	4228
253	1436	4220
254	1441	4212
255	1449	4212
256	1454	4204
257	1460	4200
258	1465	4193
259	1471	4188
260	1478	4185
261	1483	4179
262	1488	4171
263	1494	4166
264	1499	4158
265	1504	4150
266	1509	4142
267	1514	4135
268	1519	4127
269	1524	4122
270	1537	4135
271	1542	4128
272	1548	4124
273	1554	4118
274	1560	4113
275	1565	4106
276	1570	4100
277	1576	4093
278	1581	4085
279	1586	4079
280	1592	4074
281	1597	4068
282	1604	4064
283	1609	4057
284	1614	4051
285	1621	4048
286	1628	4046
287	1634	4040
288	1640	4035
289	1645	4028
290	1650	4021
291	1662	4030
292	1668	4025
293	1673	4018
294	1678	4010
295	1683	4004
296	1689	3998
297	1694	3991
298	1699	3984
299	1704	3977
300	1710	3973
301	1716	3967
302	1721	3959
303	1727	3955
304	1734	3951
305	1740	3946
306	1745	3939
307	1750	3933
308	1755	3925
309	1760	3918
310	1767	3914
311	1772	3908
312	1777	3900
313	1782	3894
314	1787	3887
315	1792	3880
316	1798	3873
317	1803	3866
318	1807	3859
319	1814	3854
320	1819	3848
321	1825	3843
322	1831	3839
323	1837	3834
324	1843	3828
325	1848	3822
326	1854	3816
327	1861	3812
328	1866	3806
329	1871	3800
330	1878	3796
331	1884	3790
332	1889	3784
333	1894	3778
334	1900	3773
335	1905	3766
336	1911	3761
337	1917	3754
338	1922	3749
339	1929	3744
340	1934	3737
341	1938	3730
342	1945	3725
343	1950	3719
344	1955	3712
345	1960	3706
346	1966	3700
347	1972	3695
348	1980	3693
349	1986	3690
350	1992	3684
351	1997	3677
352	2003	3671
353	2009	3666
354	2014	3659
355	2020	3654
356	2068	3725
357	2076	3724
358	2083	3720
359	2090	3717
360	2097	3712
361	2103	3707
362	2109	3702
363	2114	3695
364	2120	3689
365	2126	3682
366	2131	3676
367	2136	3669
368	2142	3664
369	2148	3658
370	2154	3652
371	2160	3646
372	2165	3639
373	2171	3634
374	2176	3627
375	2182	3621
376	2187	3615
377	2193	3609
378	2199	3603
379	2205	3598
380	2211	3593
381	2219	3591
382	2228	3589
383	2234	3584
384	2240	3579
385	2246	3573
386	2253	3568
387	2258	3562
388	2264	3556
389	2270	3551
390	2275	3544
391	2281	3538
392	2286	3532
393	2293	3527
394	2300	3522
395	2305	3516
396	2311	3510
397	2317	3505
398	2323	3500
399	2330	3495
400	2342	3498
401	2348	3493
402	2354	3487
403	2360	3482
404	2367	3477
405	2373	3472
406	2378	3465
407	2384	3459
408	2389	3453
409	2395	3446
410	2400	3440
411	2406	3433
412	2438	3465
413	2444	3460
414	2450	3454
415	2457	3449
416	2462	3442
417	2467	3436
418	2473	3430
419	2479	3423
420	2484	3416
421	2490	3410
422	2495	3403
423	2500	3396
424	2506	3391
425	2511	3384
426	2517	3377
427	2522	3371
428	2528	3365
429	2533	3358
430	2539	3352
431	2546	3347
432	2551	3341
433	2556	3334
434	2562	3328
435	2569	3323
436	2575	3318
437	2581	3311
438	2586	3305
439	2592	3299
440	2597	3292
441	2604	3287
442	2609	3281
443	2615	3275
444	2623	3271
445	2630	3266
446	2636	3261
447	2642	3255
448	2648	3250
449	2655	3245
450	2660	3239
451	2667	3234
452	2673	3228
453	2679	3222
454	2686	3217
455	2691	3211
456	2698	3206
457	2704	3200
458	2710	3194
459	2717	3189
460	2722	3183
461	2729	3177
462	2735	3172
463	2740	3165
464	2745	3159
465	2752	3153
466	2757	3147
467	2764	3142
468	2769	3135
469	2774	3128
470	2780	3122
471	2785	3116
472	2791	3110
473	2796	3103
474	2801	3096
475	2808	3091
476	2814	3086
477	2820	3080
478	2826	3074
479	2832	3068
480	2838	3062
481	2843	3056
482	2849	3049
483	2854	3043
484	2860	3037
485	2865	3030
486	2870	3024
487	2876	3018
488	2882	3011
489	2888	3006
490	2893	2999
491	2899	2993
492	2906	2988
493	2911	2982
494	2917	2976
495	2924	2971
496	2931	2966
497	2937	2961
498	2944	2956
499	2950	2950
500	2958	2946
501	2964	2941
502	2973	2938
503	2980	2932
504	2986	2927
505	2992	2921
506	2999	2916
507	3007	2912
508	3012	2906
509	3020	2901
510	3026	2896
511	3033	2891
512	3039	2885
513	3045	2879
514	3052	2874
515	3058	2869
516	3066	2864
517	3072	2858
518	3078	2852
519	3084	2846
520	3090	2841
521	3095	2834
522	3100	2828
523	3105	2821
524	3110	2814
525	3116	2808
526	3120	2801
527	3126	2794
528	3131	2788
529	3136	2781
530	3142	2775
531	3147	2768
532	3152	2761
533	3157	2755
534	3163	2749
535	3168	2742
536	3173	2736
537	3179	2730
538	3184	2723
539	3189	2717
540	3194	2710
541	3201	2705
542	3206	2698
543	3213	2693
544	3218	2687
545	3224	2681
546	3229	2674
547	3234	2667
548	3239	2661
549	3244	2654
550	3249	2647
551	3254	2641
552	3260	2635
553	3264	2628
554	3269	2621
555	3274	2615
556	3279	2608
557	3284	2601
558	3289	2595
559	3294	2588
560	3299	2582
561	3304	2575
562	3310	2569
563	3315	2563
564	3321	2557
565	3327	2551
566	3332	2545
567	3338	2538
568	3343	2532
569	3347	2525
570	3353	2519
571	3359	2513
572	3364	2507
573	3370	2501
574	3375	2494
575	3380	2488
576	3386	2482
577	3391	2476
578	3397	2470
579	3404	2465
580	3409	2459
581	3415	2453
582	3421	2447
583	3426	2440
584	3432	2434
585	3437	2428
586	3442	2421
587	3447	2415
588	3484	2431
589	3489	2425
590	3494	2418
591	3500	2412
592	3505	2406
593	3510	2399
594	3516	2393
595	3521	2387
